year,count
1976,286
1977,220
1978,189
1979,293
1980,203
1981,182
1982,299
1983,241
1984,143
1985,204
1986,134
1987,245
1988,326
1989,247
1990,383
1991,203
1992,146
1993,333
1994,171
1995,206
1996,123
1997,230
1998,430
1999,357
2000,318
2001,268
2002,225
2003,236
2004,463
2005,252
2006,309
2007,252
2008,330
2009,220
2010,272
2011,358
2012,367
2013,308
2014,309
2015,269
2016,334
2017,327
2018,350
2019,377
2020,345
2021,279
2022,382
2023,326
2024,346
2025,331
