REF_AREA,Reference area,TIME_PERIOD,OBS_VALUE
USA,United States,2007,1841.875
USA,United States,2008,1830.442
USA,United States,2009,1798.778
USA,United States,2010,1810.388
USA,United States,2011,1820.304
USA,United States,2012,1827.068
USA,United States,2013,1825.439
USA,United States,2014,1830.36
USA,United States,2015,1831.118
USA,United States,2016,1822.366
USA,United States,2017,1820.449
USA,United States,2018,1825.66
USA,United States,2019,1822.579
USA,United States,2020,1799.777
USA,United States,2021,1819.895
USA,United States,2022,1810.944
USA,United States,2023,1804.95
USA,United States,2024,1795.906
FIN,Finland,1960,1994.751
FIN,Finland,1961,1993.784
FIN,Finland,1962,1987.009
FIN,Finland,1963,1983.137
FIN,Finland,1964,2008.301
FIN,Finland,1965,2008.301
FIN,Finland,1966,1984.105
FIN,Finland,1967,1967.652
FIN,Finland,1968,1952.166
FIN,Finland,1969,1933.777
FIN,Finland,1970,1918.653
FIN,Finland,1971,1884.772
FIN,Finland,1972,1869.283
FIN,Finland,1973,1853.794
FIN,Finland,1974,1847.986
FIN,Finland,1975,1751.182
FIN,Finland,1976,1743.438
FIN,Finland,1977,1730.854
FIN,Finland,1978,1736.662
FIN,Finland,1979,1730.854
FIN,Finland,1980,1732.79
FIN,Finland,1981,1726.981
FIN,Finland,1982,1719.237
FIN,Finland,1983,1709.557
FIN,Finland,1984,1705.685
FIN,Finland,1985,1699.876
FIN,Finland,1986,1683.42
FIN,Finland,1987,1690.196
FIN,Finland,1988,1694.068
FIN,Finland,1989,1694.068
FIN,Finland,1990,1670.835
FIN,Finland,1991,1652.442
FIN,Finland,1992,1651.474
FIN,Finland,1993,1651.474
FIN,Finland,1994,1671.803
FIN,Finland,1995,1676.643
FIN,Finland,1996,1675.675
FIN,Finland,1997,1671.803
FIN,Finland,1998,1662.123
FIN,Finland,1999,1661.155
FIN,Finland,2000,1652.564
FIN,Finland,2001,1638.026
FIN,Finland,2002,1630.272
FIN,Finland,2003,1624.456
FIN,Finland,2004,1626.395
FIN,Finland,2005,1615.733
FIN,Finland,2006,1610.887
FIN,Finland,2007,1607.01
FIN,Finland,2008,1603.133
FIN,Finland,2009,1582.779
FIN,Finland,2010,1587.625
FIN,Finland,2011,1579.871
FIN,Finland,2012,1568.24
FIN,Finland,2013,1560.486
FIN,Finland,2014,1556.609
FIN,Finland,2015,1555.64
FIN,Finland,2016,1554.67
FIN,Finland,2017,1548.855
FIN,Finland,2018,1546.916
FIN,Finland,2019,1537.224
FIN,Finland,2020,1529.47
FIN,Finland,2021,1527.532
FIN,Finland,2022,1512.993
FIN,Finland,2023,1497.485
FIN,Finland,2024,1509.116
AUS,Australia,1979,1819.902
AUS,Australia,1980,1818.165
AUS,Australia,1981,1803.143
AUS,Australia,1982,1781.569
AUS,Australia,1983,1765.077
AUS,Australia,1984,1785.128
AUS,Australia,1985,1778.954
AUS,Australia,1986,1782.335
AUS,Australia,1987,1781.48
AUS,Australia,1988,1778.658
AUS,Australia,1989,1791.204
AUS,Australia,1990,1777.58
AUS,Australia,1991,1763.491
AUS,Australia,1992,1760.266
AUS,Australia,1993,1778.604
AUS,Australia,1994,1785.088
AUS,Australia,2010,1688.0
AUS,Australia,2011,1690.0
AUS,Australia,2012,1682.0
AUS,Australia,2016,1661.0
AUS,Australia,2017,1665.0
AUS,Australia,2018,1653.0
AUS,Australia,2020,1610.0
AUS,Australia,2021,1620.0
AUS,Australia,2022,1626.0
AUS,Australia,2023,1645.0
AUS,Australia,2024,1627.0
AUT,Austria,1995,1614.639
AUT,Austria,1996,1644.521
AUT,Austria,1997,1653.751
AUT,Austria,1998,1634.743
AUT,Austria,1999,1639.861
AUT,Austria,2000,1639.861
AUT,Austria,2001,1628.986
AUT,Austria,2002,1625.97
AUT,Austria,2003,1618.477
AUT,Austria,2004,1623.138
AUT,Austria,2005,1602.851
AUT,Austria,2006,1587.681
AUT,Austria,2007,1579.365
AUT,Austria,2008,1574.248
AUT,Austria,2009,1531.846
AUT,Austria,2010,1528.374
AUT,Austria,2011,1538.06
AUT,Austria,2012,1520.058
AUT,Austria,2013,1512.016
AUT,Austria,2014,1510.189
AUT,Austria,2015,1495.111
AUT,Austria,2016,1507.173
AUT,Austria,2017,1499.04
AUT,Austria,2018,1505.163
AUT,Austria,2019,1515.398
AUT,Austria,2020,1401.169
AUT,Austria,2021,1443.297
AUT,Austria,2022,1444.759
AUT,Austria,2023,1447.957
AUT,Austria,2024,1432.239
BEL,Belgium,1970,1883.657
BEL,Belgium,1971,1873.855
BEL,Belgium,1972,1847.948
BEL,Belgium,1973,1820.542
BEL,Belgium,1974,1792.335
BEL,Belgium,1975,1783.133
BEL,Belgium,1976,1785.933
BEL,Belgium,1977,1760.227
BEL,Belgium,1978,1743.423
BEL,Belgium,1979,1727.019
BEL,Belgium,1980,1706.914
BEL,Belgium,1981,1683.808
BEL,Belgium,1982,1669.405
BEL,Belgium,1983,1675.306
BEL,Belgium,1984,1699.412
BEL,Belgium,1985,1705.414
BEL,Belgium,1986,1685.409
BEL,Belgium,1987,1670.305
BEL,Belgium,1988,1658.302
BEL,Belgium,1989,1649.3
BEL,Belgium,1990,1663.303
BEL,Belgium,1991,1626.194
BEL,Belgium,1992,1603.089
BEL,Belgium,1993,1558.978
BEL,Belgium,1994,1558.978
BEL,Belgium,1995,1578.383
BEL,Belgium,1996,1575.382
BEL,Belgium,1997,1582.384
BEL,Belgium,1998,1574.382
BEL,Belgium,1999,1575.382
BEL,Belgium,2000,1589.102
BEL,Belgium,2001,1581.243
BEL,Belgium,2002,1593.646
BEL,Belgium,2003,1598.22
BEL,Belgium,2004,1587.803
BEL,Belgium,2005,1577.676
BEL,Belgium,2006,1591.638
BEL,Belgium,2007,1593.658
BEL,Belgium,2008,1582.505
BEL,Belgium,2009,1564.164
BEL,Belgium,2010,1578.194
BEL,Belgium,2011,1594.696
BEL,Belgium,2012,1592.525
BEL,Belgium,2013,1591.506
BEL,Belgium,2014,1587.92
BEL,Belgium,2015,1582.106
BEL,Belgium,2016,1582.189
BEL,Belgium,2017,1584.384
BEL,Belgium,2018,1587.5
BEL,Belgium,2019,1587.405
BEL,Belgium,2020,1458.985
BEL,Belgium,2021,1550.989
BEL,Belgium,2022,1589.981
BEL,Belgium,2023,1593.289
BEL,Belgium,2024,1593.244
CAN,Canada,2016,1705.0
CAN,Canada,2017,1694.0
CAN,Canada,2018,1704.0
CAN,Canada,2019,1693.0
CAN,Canada,2020,1658.0
CAN,Canada,2021,1691.0
CAN,Canada,2022,1693.0
CAN,Canada,2023,1694.0
CAN,Canada,2024,1697.0
CHL,Chile,2010,2076.0
CHL,Chile,2011,2056.0
CHL,Chile,2012,2033.0
CHL,Chile,2013,2027.0
CHL,Chile,2014,2000.0
CHL,Chile,2023,1953.0
CHL,Chile,2024,1919.0
COL,Colombia,1970,2603.34
COL,Colombia,1971,2591.69
COL,Colombia,1972,2580.093
COL,Colombia,1973,2568.548
COL,Colombia,1974,2556.908
COL,Colombia,1975,2545.321
COL,Colombia,1976,2533.787
COL,Colombia,1977,2522.304
COL,Colombia,1978,2510.874
COL,Colombia,1979,2499.496
COL,Colombia,1980,2488.169
COL,Colombia,1981,2475.24
COL,Colombia,1982,2462.378
COL,Colombia,1983,2449.583
COL,Colombia,1984,2436.855
COL,Colombia,1985,2424.192
COL,Colombia,1986,2411.596
COL,Colombia,1987,2399.065
COL,Colombia,1988,2386.599
COL,Colombia,1989,2374.198
COL,Colombia,1990,2362.201
COL,Colombia,1991,2350.173
COL,Colombia,1992,2338.207
COL,Colombia,1993,2353.751
COL,Colombia,1994,2369.399
COL,Colombia,2015,2395.831
COL,Colombia,2016,2392.209
COL,Colombia,2017,2376.426
COL,Colombia,2018,2385.939
COL,Colombia,2019,2382.611
COL,Colombia,2020,2069.439
COL,Colombia,2021,2287.544
COL,Colombia,2022,2282.116
COL,Colombia,2023,2252.462
CRI,Costa Rica,2023,2170.5
CRI,Costa Rica,2024,2149.0
CZE,Czechia,1995,1831.48
CZE,Czechia,1996,1829.348
CZE,Czechia,1997,1837.643
CZE,Czechia,1998,1860.957
CZE,Czechia,1999,1890.646
CZE,Czechia,2000,1900.422
CZE,Czechia,2001,1823.254
CZE,Czechia,2002,1812.366
CZE,Czechia,2003,1799.214
CZE,Czechia,2004,1813.586
CZE,Czechia,2005,1802.671
CZE,Czechia,2006,1789.104
CZE,Czechia,2007,1774.68
CZE,Czechia,2008,1789.289
CZE,Czechia,2009,1779.339
CZE,Czechia,2010,1798.807
CZE,Czechia,2011,1804.786
CZE,Czechia,2012,1774.424
CZE,Czechia,2013,1761.224
CZE,Czechia,2014,1771.798
CZE,Czechia,2015,1749.727
CZE,Czechia,2016,1773.193
CZE,Czechia,2017,1775.649
CZE,Czechia,2018,1783.554
CZE,Czechia,2019,1783.152
CZE,Czechia,2020,1672.854
CZE,Czechia,2021,1721.574
CZE,Czechia,2022,1779.403
CZE,Czechia,2023,1774.155
CZE,Czechia,2024,1770.708
DNK,Denmark,1970,1845.348
DNK,Denmark,1971,1809.736
DNK,Denmark,1972,1751.845
DNK,Denmark,1973,1709.507
DNK,Denmark,1974,1691.495
DNK,Denmark,1975,1616.505
DNK,Denmark,1976,1623.536
DNK,Denmark,1977,1598.425
DNK,Denmark,1978,1575.157
DNK,Denmark,1979,1563.845
DNK,Denmark,1980,1577.436
DNK,Denmark,1981,1546.399
DNK,Denmark,1982,1552.841
DNK,Denmark,1983,1545.958
DNK,Denmark,1984,1540.836
DNK,Denmark,1985,1527.464
DNK,Denmark,1986,1530.954
DNK,Denmark,1987,1493.025
DNK,Denmark,1988,1471.17
DNK,Denmark,1989,1454.952
DNK,Denmark,1990,1440.502
DNK,Denmark,1991,1437.314
DNK,Denmark,1992,1452.365
DNK,Denmark,1993,1448.921
DNK,Denmark,1994,1406.661
DNK,Denmark,1995,1419.133
DNK,Denmark,1996,1412.261
DNK,Denmark,1997,1428.088
DNK,Denmark,1998,1441.122
DNK,Denmark,1999,1456.503
DNK,Denmark,2000,1465.946
DNK,Denmark,2001,1468.658
DNK,Denmark,2002,1462.575
DNK,Denmark,2003,1457.813
DNK,Denmark,2004,1458.082
DNK,Denmark,2005,1451.37
DNK,Denmark,2006,1455.689
DNK,Denmark,2007,1432.765
DNK,Denmark,2008,1429.972
DNK,Denmark,2009,1416.854
DNK,Denmark,2010,1422.293
DNK,Denmark,2011,1436.826
DNK,Denmark,2012,1423.267
DNK,Denmark,2013,1425.736
DNK,Denmark,2014,1413.646
DNK,Denmark,2015,1406.894
DNK,Denmark,2016,1412.018
DNK,Denmark,2017,1404.081
DNK,Denmark,2018,1380.78
DNK,Denmark,2019,1372.385
DNK,Denmark,2020,1340.595
DNK,Denmark,2021,1388.907
DNK,Denmark,2022,1385.049
DNK,Denmark,2023,1379.945
DNK,Denmark,2024,1378.748
EST,Estonia,2000,1883.541
EST,Estonia,2001,1876.516
EST,Estonia,2002,1878.605
EST,Estonia,2003,1883.98
EST,Estonia,2004,1891.719
EST,Estonia,2005,1912.586
EST,Estonia,2006,1905.556
EST,Estonia,2007,1903.169
EST,Estonia,2008,1873.919
EST,Estonia,2009,1744.758
EST,Estonia,2010,1785.29
EST,Estonia,2011,1827.345
EST,Estonia,2012,1795.751
EST,Estonia,2013,1776.854
EST,Estonia,2014,1770.748
EST,Estonia,2015,1763.306
EST,Estonia,2016,1766.718
EST,Estonia,2017,1768.131
EST,Estonia,2018,1707.299
EST,Estonia,2019,1694.293
EST,Estonia,2020,1637.233
EST,Estonia,2021,1625.451
EST,Estonia,2022,1601.718
EST,Estonia,2023,1605.743
EST,Estonia,2024,1611.124
FRA,France,1990,1644.851
FRA,France,1991,1637.782
FRA,France,1992,1635.152
FRA,France,1993,1626.686
FRA,France,1994,1623.234
FRA,France,1995,1579.078
FRA,France,1996,1575.092
FRA,France,1997,1573.885
FRA,France,1998,1564.927
FRA,France,1999,1560.667
FRA,France,2000,1542.145
FRA,France,2001,1523.128
FRA,France,2002,1489.72
FRA,France,2003,1493.354
FRA,France,2004,1517.261
FRA,France,2005,1518.586
FRA,France,2006,1503.363
FRA,France,2007,1525.35
FRA,France,2008,1531.923
FRA,France,2009,1520.032
FRA,France,2010,1528.035
FRA,France,2011,1533.702
FRA,France,2012,1527.898
FRA,France,2013,1512.796
FRA,France,2014,1504.182
FRA,France,2015,1504.331
FRA,France,2016,1507.395
FRA,France,2017,1492.042
FRA,France,2018,1499.651
FRA,France,2019,1504.382
FRA,France,2020,1390.85
FRA,France,2021,1468.614
FRA,France,2022,1493.84
FRA,France,2023,1488.518
FRA,France,2024,1490.729
DEU,Germany,1970,1960.449
DEU,Germany,1971,1928.538
DEU,Germany,1972,1905.509
DEU,Germany,1974,1837.596
DEU,Germany,1975,1800.829
DEU,Germany,1976,1813.297
DEU,Germany,1977,1795.818
DEU,Germany,1978,1776.881
DEU,Germany,1979,1765.023
DEU,Germany,1980,1745.688
DEU,Germany,1981,1724.153
DEU,Germany,1982,1712.987
DEU,Germany,1983,1700.126
DEU,Germany,1984,1688.562
DEU,Germany,1985,1665.532
DEU,Germany,1986,1646.589
DEU,Germany,1987,1624.457
DEU,Germany,1988,1619.272
DEU,Germany,1989,1595.844
DEU,Germany,1990,1572.814
DEU,Germany,1991,1554.071
DEU,Germany,1992,1565.105
DEU,Germany,1993,1540.173
DEU,Germany,1994,1536.58
DEU,Germany,1995,1528.897
DEU,Germany,1996,1515.496
DEU,Germany,1997,1506.156
DEU,Germany,1998,1503.01
DEU,Germany,1999,1490.267
DEU,Germany,2000,1464.534
DEU,Germany,2001,1457.354
DEU,Germany,2002,1448.336
DEU,Germany,2003,1443.067
DEU,Germany,2004,1442.652
DEU,Germany,2005,1431.893
DEU,Germany,2006,1452.421
DEU,Germany,2007,1453.857
DEU,Germany,2008,1446.892
DEU,Germany,2009,1406.77
DEU,Germany,2010,1425.368
DEU,Germany,2011,1427.183
DEU,Germany,2012,1405.995
DEU,Germany,2013,1395.734
DEU,Germany,2014,1400.007
DEU,Germany,2015,1401.59
DEU,Germany,2016,1395.829
DEU,Germany,2017,1388.212
DEU,Germany,2018,1380.726
DEU,Germany,2019,1372.045
DEU,Germany,2020,1313.566
DEU,Germany,2021,1341.88
DEU,Germany,2022,1340.14
DEU,Germany,2023,1335.274
DEU,Germany,2024,1331.451
GRC,Greece,1983,2072.195
GRC,Greece,1984,2002.995
GRC,Greece,1985,2020.058
GRC,Greece,1986,2008.683
GRC,Greece,1987,1967.921
GRC,Greece,1988,1956.546
GRC,Greece,1989,1997.307
GRC,Greece,1990,1975.505
GRC,Greece,1991,2004.891
GRC,Greece,1992,2031.433
GRC,Greece,1993,2051.34
GRC,Greece,1994,2018.162
GRC,Greece,1995,2000.821
GRC,Greece,1996,1999.584
GRC,Greece,1997,1998.202
GRC,Greece,1998,1998.667
GRC,Greece,1999,1995.27
GRC,Greece,2000,1997.913
GRC,Greece,2001,1991.742
GRC,Greece,2002,1984.239
GRC,Greece,2003,1982.592
GRC,Greece,2004,1974.129
GRC,Greece,2005,2025.022
GRC,Greece,2006,2014.69
GRC,Greece,2007,2001.087
GRC,Greece,2008,1996.603
GRC,Greece,2009,1972.859
GRC,Greece,2010,1931.078
GRC,Greece,2011,1950.219
GRC,Greece,2012,1989.93
GRC,Greece,2013,1996.605
GRC,Greece,2014,1949.332
GRC,Greece,2015,1934.986
GRC,Greece,2016,1942.727
GRC,Greece,2017,1946.938
GRC,Greece,2018,1961.081
GRC,Greece,2019,1917.592
GRC,Greece,2020,1735.434
GRC,Greece,2021,1853.799
GRC,Greece,2022,1881.747
GRC,Greece,2023,1893.062
GRC,Greece,2024,1898.22
HUN,Hungary,1995,1952.371
HUN,Hungary,1996,1950.144
HUN,Hungary,1997,1958.439
HUN,Hungary,1998,1945.358
HUN,Hungary,1999,1945.036
HUN,Hungary,2000,1940.261
HUN,Hungary,2001,1906.431
HUN,Hungary,2002,1892.032
HUN,Hungary,2003,1857.141
HUN,Hungary,2004,1850.891
HUN,Hungary,2005,1827.059
HUN,Hungary,2006,1817.931
HUN,Hungary,2007,1795.226
HUN,Hungary,2008,1790.623
HUN,Hungary,2009,1755.303
HUN,Hungary,2010,1759.832
HUN,Hungary,2011,1747.195
HUN,Hungary,2012,1744.73
HUN,Hungary,2013,1740.719
HUN,Hungary,2014,1749.015
HUN,Hungary,2015,1742.848
HUN,Hungary,2016,1755.904
HUN,Hungary,2017,1749.673
HUN,Hungary,2018,1736.875
HUN,Hungary,2019,1728.264
HUN,Hungary,2020,1653.149
HUN,Hungary,2021,1682.396
HUN,Hungary,2022,1691.617
HUN,Hungary,2023,1671.139
HUN,Hungary,2024,1674.274
ISL,Iceland,1970,2046.67
ISL,Iceland,1971,2006.881
ISL,Iceland,1972,1972.663
ISL,Iceland,1973,1954.659
ISL,Iceland,1974,1929.074
ISL,Iceland,1975,1903.458
ISL,Iceland,1976,1874.998
ISL,Iceland,1977,1831.44
ISL,Iceland,1978,1791.557
ISL,Iceland,1979,1778.233
ISL,Iceland,1980,1767.798
ISL,Iceland,1981,1761.146
ISL,Iceland,1982,1763.98
ISL,Iceland,1983,1763.995
ISL,Iceland,1984,1762.092
ISL,Iceland,1985,1761.153
ISL,Iceland,1986,1753.577
ISL,Iceland,1987,1751.647
ISL,Iceland,1988,1759.242
ISL,Iceland,1989,1754.53
ISL,Iceland,1990,1744.093
ISL,Iceland,1991,1747.822
ISL,Iceland,1992,1752.689
ISL,Iceland,1993,1756.434
ISL,Iceland,1994,1764.222
ISL,Iceland,1995,1733.685
ISL,Iceland,1996,1758.782
ISL,Iceland,1997,1736.957
ISL,Iceland,1998,1741.122
ISL,Iceland,1999,1742.37
ISL,Iceland,2000,1728.713
ISL,Iceland,2001,1714.427
ISL,Iceland,2002,1714.466
ISL,Iceland,2003,1682.435
ISL,Iceland,2004,1686.855
ISL,Iceland,2005,1614.845
ISL,Iceland,2006,1588.35
ISL,Iceland,2007,1553.874
ISL,Iceland,2008,1625.204
ISL,Iceland,2009,1536.385
ISL,Iceland,2010,1527.852
ISL,Iceland,2011,1537.681
ISL,Iceland,2012,1523.065
ISL,Iceland,2013,1524.133
ISL,Iceland,2014,1513.436
ISL,Iceland,2015,1511.402
ISL,Iceland,2016,1519.995
ISL,Iceland,2017,1507.077
ISL,Iceland,2018,1496.456
ISL,Iceland,2019,1480.148
ISL,Iceland,2020,1464.424
ISL,Iceland,2021,1460.389
ISL,Iceland,2022,1459.89
ISL,Iceland,2023,1451.993
ISL,Iceland,2024,1434.11
IRL,Ireland,1970,2288.492
IRL,Ireland,1971,2271.817
IRL,Ireland,1972,2252.065
IRL,Ireland,1973,2239.751
IRL,Ireland,1974,2204.094
IRL,Ireland,1975,2194.346
IRL,Ireland,1976,2188.959
IRL,Ireland,1977,2159.971
IRL,Ireland,1978,2140.731
IRL,Ireland,1979,2119.439
IRL,Ireland,1980,2080.96
IRL,Ireland,1981,2050.177
IRL,Ireland,1982,2042.994
IRL,Ireland,1983,2032.989
IRL,Ireland,1984,2015.289
IRL,Ireland,1985,2022.215
IRL,Ireland,1986,2056.077
IRL,Ireland,1987,2035.811
IRL,Ireland,1988,2044.02
IRL,Ireland,1989,2051.203
IRL,Ireland,1990,2039.915
IRL,Ireland,1991,2005.541
IRL,Ireland,1992,1958.083
IRL,Ireland,1993,1931.917
IRL,Ireland,1994,1932.173
IRL,Ireland,1995,1962.008
IRL,Ireland,1996,1953.599
IRL,Ireland,1997,1954.201
IRL,Ireland,1998,1914.3
IRL,Ireland,1999,1890.1
IRL,Ireland,2000,1877.0
IRL,Ireland,2001,1853.8
IRL,Ireland,2002,1838.7
IRL,Ireland,2003,1808.0
IRL,Ireland,2004,1792.6
IRL,Ireland,2005,1793.0
IRL,Ireland,2006,1772.1
IRL,Ireland,2007,1744.8
IRL,Ireland,2008,1710.6
IRL,Ireland,2009,1660.5
IRL,Ireland,2010,1664.9
IRL,Ireland,2013,1677.3
IRL,Ireland,2014,1688.9
IRL,Ireland,2015,1682.1
IRL,Ireland,2016,1705.0
IRL,Ireland,2017,1727.3
IRL,Ireland,2018,1742.4
IRL,Ireland,2020,1620.2
IRL,Ireland,2021,1629.8
IRL,Ireland,2022,1658.8
IRL,Ireland,2023,1629.3
IRL,Ireland,2024,1621.7
ISR,Israel,1981,1966.364
ISR,Israel,1982,1942.088
ISR,Israel,1983,1928.939
ISR,Israel,1984,1931.973
ISR,Israel,1985,1931.973
ISR,Israel,1986,1926.916
ISR,Israel,1987,1920.847
ISR,Israel,1988,1878.364
ISR,Israel,1989,1909.72
ISR,Israel,1990,1904.663
ISR,Israel,1991,1897.582
ISR,Israel,1992,1951.192
ISR,Israel,1993,1953.215
ISR,Israel,1994,1993.675
ISR,Israel,1995,2019.569
ISR,Israel,1996,2037.771
ISR,Israel,1997,2041.117
ISR,Israel,1998,2016.306
ISR,Israel,1999,2023.139
ISR,Israel,2000,2033.031
ISR,Israel,2001,1992.15
ISR,Israel,2002,2008.505
ISR,Israel,2003,1989.037
ISR,Israel,2004,1966.233
ISR,Israel,2005,1957.112
ISR,Israel,2006,1945.005
ISR,Israel,2007,1957.866
ISR,Israel,2008,1955.662
ISR,Israel,2009,1956.012
ISR,Israel,2010,1950.301
ISR,Israel,2011,1941.947
ISR,Israel,2012,1916.593
ISR,Israel,2013,1906.779
ISR,Israel,2014,1893.307
ISR,Israel,2015,1894.42
ISR,Israel,2016,1918.541
ISR,Israel,2017,1918.016
ISR,Israel,2018,1910.715
ISR,Israel,2019,1894.942
ISR,Israel,2020,1778.438
ISR,Israel,2021,1877.381
ISR,Israel,2022,1890.858
ISR,Israel,2023,1880.809
ISR,Israel,2024,1877.038
ITA,Italy,1970,2042.316
ITA,Italy,1971,1989.836
ITA,Italy,1972,1970.973
ITA,Italy,1973,1954.73
ITA,Italy,1974,1924.153
ITA,Italy,1975,1908.631
ITA,Italy,1976,1906.535
ITA,Italy,1977,1871.688
ITA,Italy,1978,1861.644
ITA,Italy,1979,1855.108
ITA,Italy,1980,1856.145
ITA,Italy,1981,1862.422
ITA,Italy,1982,1873.828
ITA,Italy,1983,1873.101
ITA,Italy,1984,1862.735
ITA,Italy,1985,1859.236
ITA,Italy,1986,1867.672
ITA,Italy,1987,1886.798
ITA,Italy,1988,1890.464
ITA,Italy,1989,1874.599
ITA,Italy,1990,1863.888
ITA,Italy,1991,1856.938
ITA,Italy,1992,1860.098
ITA,Italy,1993,1859.962
ITA,Italy,1994,1853.881
ITA,Italy,1996,1841.439
ITA,Italy,1997,1835.325
ITA,Italy,1998,1849.668
ITA,Italy,1999,1847.116
ITA,Italy,2000,1827.7
ITA,Italy,2001,1818.168
ITA,Italy,2002,1801.002
ITA,Italy,2003,1784.348
ITA,Italy,2004,1783.564
ITA,Italy,2005,1779.861
ITA,Italy,2006,1781.106
ITA,Italy,2007,1786.214
ITA,Italy,2008,1775.378
ITA,Italy,2009,1742.563
ITA,Italy,2010,1743.237
ITA,Italy,2011,1739.031
ITA,Italy,2012,1700.625
ITA,Italy,2013,1687.479
ITA,Italy,2014,1685.58
ITA,Italy,2015,1688.082
ITA,Italy,2016,1692.141
ITA,Italy,2017,1690.696
ITA,Italy,2018,1690.236
ITA,Italy,2019,1680.492
ITA,Italy,2020,1513.929
ITA,Italy,2021,1653.027
ITA,Italy,2022,1691.253
ITA,Italy,2023,1701.421
ITA,Italy,2024,1709.15
JPN,Japan,2020,1597.011
JPN,Japan,2021,1607.483
JPN,Japan,2022,1606.995
JPN,Japan,2023,1610.745
JPN,Japan,2024,1617.381
KOR,Korea,2013,2105.0
KOR,Korea,2014,2075.0
